Title,Discipline,Article URL,PDF URL,Abstract
View of Editorial Comment,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1295/922,https://journals.unza.zm/index.php/JLSS/article/download/1295/922,Abstract not found
View of Some Novels are Novels While Others are Not: Carnivalesque and Contemporaneity in Dambudzo Marechera's House of Hunger,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1297/923,https://journals.unza.zm/index.php/JLSS/article/download/1297/923,"ABSTRACT
This article aims at investigating whether or not there is novelness as defined 
by Bakhtin in Dambudzo Marechera’s House of Hunger. It focuses on Mikhail 
Bakhtin’s concepts of carnivalesque and contemporaneity in examining 
the quality of novelness in House of Hunger. Mikhail Bakhtin’s concept of 
novelness says that the novel has its own quality that differentiates it from 
other genres. It argues that this quality is realised through heteroglossia, 
carnivalesque, polyphony genre-absorption, and contemporaneity or contact 
with the present. Carnivalesque is the use of language of debasement, parody 
and travesty in sharing meaning. It also refers to parodying other genres, which 
is a key element in the novel. Contemporaneity refers to the novel’s contact 
with living memory in contrast with the epic which is related to glorification 
of the past that is largely not linked to the present circumstances of the time. 
After examination of the novel, it has been observed that it exhibits elements 
of carnivalesque as a criticism of both society and other literary genres. It 
has also been observed that issues shared in the novel are contemporary and, 
therefore, key to issues relating to the reading public. The article therefore 
concludes that, based on carnivalesque and contemporaneity, there are 
elements of novelness in Dambudzo Marechera’s House of Hunger. For that 
reason, House of Hunger is a novel."
View of Contradictions of a Society in Transition: A Look at Henry Musenge's Novel Changing Shadows,Sociology,https://journals.unza.zm/index.php/JLSS/article/view/1298/924,https://journals.unza.zm/index.php/JLSS/article/download/1298/924,"ABSTRACT
This article seeks to highlight the contradictions that characterise the society 
in transition as regards cultural change. It focuses on Henry Musenge’s novel 
Changing Shadows, which depicts a people in a dilemma with regard to the 
appropriate culture between the traditional ethnic culture and the new modern 
culture. Some members in this society wish to adhere to tradition and at the 
same time attempt to demonise the new emerging culture. On the opposite 
extreme end, others regard the traditional culture as backward and outdated; 
one that should be disposed of completely, and eagerly wish to embrace the 
new modern culture. Still, others wish to embrace both cultures – or the hybrid 
of both cultures. The contradiction lies in the fact that on one hand there is a 
(national) call to uphold (selected) traditional values and practices as these are 
said to enforce national identity and national pride. On the other hand, there is 
a ‘public’ call for change and a call to embrace the new modern culture; thus, 
‘tradition is good’ versus ‘tradition is bad, evil, retrogressive and outdated’. 
This bi-polar approach to culture happens in one society and consequently 
degenerates into internal divides in the same society. The challenge is that 
these two cultures, in many respects, tend to be mutually exclusive; the 
practices are conflicting. This calls for the need for society to revisit and guide 
properly seeing that the ambivalent/dual-structured cultural disposition creates 
confusion and contradictions. This article is largely guided by the sociological 
approach which posits that literature should serve as a mirror of society and to 
provide solutions for society. However, it is also guided by theories composed 
in cultural studies and multiculturalism."
View of Unravelling the Complexity of Cinyanja Compound Words: A Distributed Morphology Approach,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1299/925,https://journals.unza.zm/index.php/JLSS/article/download/1299/925,"ABSTRACT
Compound words are found in most languages and play an essential 
role in the lexicon of the majority of languages because they reflect 
the interface between morphology, phonology, syntax and semantics. 
The present study seeks to provide a broader analysis of Cinyanja VN-
compound words with a non-derived noun in the nominal position 
based on Distributed Morphology framework provided by Halle and 
Marantz (1993). Therefore, the main aim of this paper is to show the 
intricate processes involved in the formation and interpretation of 
compound words. The data used in this study were mainly collected 
from secondary sources which included written sources in Cinyanja. 
The findings of the study arising from the syntactic analysis of the 
compound words provide insights on the insertion of the noun class 
prefix in the derivational process. Furthermore, using Distributed 
Morphology in the interpretation of lexicalised meaning, the findings 
provide insights on the complexities and creativity involved in the 
construction of compound words in Cinyanja.  
Key words:	 Compound Words, Distributed Morphology, Noun Class Prefix, 
Cinyanja"
View of The Naming of Zambia's Waterfalls: A Test Case in Critical Toponymy,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1300/926,https://journals.unza.zm/index.php/JLSS/article/download/1300/926,"ABSTRACT
It has been claimed that the indigenous names of waterfalls were frequently 
replaced by European names. This critical toponymic claim is challenged in 
a test case investigating the names of Zambian waterfalls. The research was 
undertaken in three parts. Firstly, a quantitative study showed that 97 per 
cent of 150 named waterfalls have indigenous rather than colonial names.  
Secondly, the colonial practices and policies that ensured that Zambian 
waterfalls retained their indigenous names were traced through contemporary 
documents. Lastly, the naming motives of ninety-nine waterfalls were 
examined through a toponymic typology to reveal how the indigenous names 
reflect aspects of indigenous culture that are in danger of being marginalised 
or lost. The results refute the critical hypothesis of toponymic silencing and 
establish an evidence-based narrative of a colonial policy that ensured that the 
indigenous names of waterfalls were retained.  European names were adopted 
only if an indigenous name could not be identified."
"View of Intercultural Communication Practices in Chinese Firms in Lusaka, Zambia: Perspectives of Zambian Employees",Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1301/927,https://journals.unza.zm/index.php/JLSS/article/download/1301/927,"ABSTRACT
This article highlights the Intercultural Communication Practices in Chinese 
Multinational Companies (MNCs) in Zambia with a particular focus on Zambian 
employees’ perspectives. It explores communication practices in Chinese firms 
in Lusaka, understanding Zambian workers’ perceptions of communication 
with Chinese counterparts, and identifying barriers to effective communication. 
Employing a Phenomenological approach, two (02) Chinese MNCs in Zambia 
were studied: China Jiangsu International and Avic International (Zambia) 
Limited. Ten employees were interviewed. The findings indicate the use of 
interpreters, oral communication, and gestures for daily activities exchange. 
While some found these practices effective, others faced challenges due to 
intercultural differences. Barriers include lack of respect for elders, disregard for 
pleasantries, and impatience among Chinese employees. The study concludes 
that Chinese MNCs lack adequate attention to intercultural communication 
strategies, thus recommending the implementation of deliberate improvement 
measures."
"View of The Resemiotisation and Intertextuality of Multimodal Discourses in Linguistic Landscape of Public Service Vehicles in Lusaka, Zambia",Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1313/933,https://journals.unza.zm/index.php/JLSS/article/download/1313/933,"ABSTRACT
Using resemiotisation and intertextuality as analytical tools in the broader 
theoretical conexts of linguistic landscapes and semiotic studies, this article 
accounts for the diverse and heavily saturated multimodal discourses emplaced 
on public service vehicles in Lusaka, Zambia (South-Central Africa). As its 
locus, the study wishes to to unearth the textual and sociocultural sources 
of emplaced discourses privileging local materialities, agency, and voice. To 
this end, the article reveals that the multimodal discourses on public service 
vehicles bring religion into the spotlight, particularly Christianity, as a 
sociocultural reality of social actors. It is shown that the emplaced multimodal 
discourses are inescapably related to other texts and narratives predominantly 
associated with Zambias’ christian religious underpinnings. In this way, the 
article concludes that resemiotisation and intertextuality are at play in the 
textual trajectory of discourses seen on public service vehicles in Lusaka, 
Zambia."
View of Complicating the Language of Conventional Nigerian Narratives: The Poetics of the Language Ofokri’s Narratives.,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1205/885,https://journals.unza.zm/index.php/JLSS/article/download/1205/885,"ABSTRACT 
Nigerian narratives, from Chinua Achebe’s Things Fall Apart (1958) to 
contemporary ones, have always resorted to the technique of realism by which 
they seek to make art correspond to life. These narratives were, therefore, 
metonymic, Roman Jakobson’s manner of describing language standing in for 
a state of reality. This circumstance persisted until Ben Okri’s mature novels 
deviated from it through being metaphoric and the deployment of unfamiliar 
characterisation, settings, action and language. By this deviation, Okri’s 
narratives seem to have ruptured the metonymic and the concretising literary 
language traditional to Nigerian narratives, an issue that has remained largely 
overlooked. Using Roman Jakobson’s linguistics and sundry descriptive 
methods (since Jakobson’s thought relevant to this study does not exceed 
metaphor and metonymy), this article teases out the variegated dimensions 
through which the literary language of Ben Okri’s latter works undermine 
and complicate the conventional literary language of Nigerian narratives. 
Focusing on this language, this article analyses, first, the metonymic – the 
tendency in the language of Nigerian literature and Okri’s earlier narratives 
to evoke a familiar reality; second, the metaphoric; third, the redefinition of 
human actions; fourth, the dissonance between the signifier and the signified in 
signs signifying institutional concepts; fifth, paradoxes; and last, parallelisms. 
It concludes that with the language of Okri’s later works so tied to his will-
to-narrate in a way subversive of the technique of realism, while representing 
perceived resemblances through related poetic elements and features, he 
breathes fresh and rich energies into Nigeria’s existing realistic literature as 
well as flustering critics’ expectations."
View of Evaluating the Key Roles of Contract Administrators in the Zambian Construction Industry,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1201/881,https://journals.unza.zm/index.php/JLSS/article/download/1201/881,"ABSTRACT
The nature of the construction contract administrator’s role from project commencement 
to completion is multifaceted and complex. Additionally, successfully performing the role, 
requires various skills. Different perspectives exist on what contract administrators do 
and what competencies are necessary for the day-to-day administration of a construction 
contract. The aim of the study was to determine contract administrators’ key roles in the 
Zambian construction industry. This study  provides literature that gives an understanding of 
what role contract administrators should fulfil. Having this knowledge will enable them to 
carry out their functions effectively and this will foster completion of construction projects 
within the stipulated conditions of the contracts. This research shows the key roles of a 
contract administrator at the various stages of construction that are categorised depending 
on a particular stage of construction. These roles include risk-related, cost, schedule, 
procurement, integration and resource-related roles."
View of What's in a Name? The Place of Language in the Naming of Programmes in the Zambian Radio and Television Industry,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1202/882,https://journals.unza.zm/index.php/JLSS/article/download/1202/882,"ABSTRACT
The old Shakespearian rhetorical question, ‘What’s in a name?’ comes to the 
fore when we examine the names given to programmes by Zambian radio 
and television stations. While most people are not bothered by such names 
and would argue that it is the content of the programmes that is paramount, 
not the names thereof, it may be argued that the names are worth analysing 
from the perspective of onomastics, which is the scientific study of names 
and naming systems. No study has been conducted on the names of radio 
and television programmes in Zambia, and this is the lacuna that this study 
is concerned with. The study is qualitative in nature and analyses names of 
programmes in both public and private media houses. More specifically, the 
study concerns itself with the language used in the naming – that is, whether 
local names are used apart from English names and if so, which Zambian 
languages are the local names associated with. The findings reveal that none 
of the media houses selected for the study has a formal or written policy on 
language use. The naming of programmes tends to follow a linguistic pattern 
similar to what obtains with regard to the use of language: the public media 
has more programmes with names in local languages than the private media. 
Ultimately, however, the findings of this study underline the fact that there is no 
formal language policy guiding the affairs of the nation. It may be concluded, 
therefore, that the situation cannot be corrected or ameliorated without a clear 
language policy at national level."
